strategy|programme|activity|location_by_priority|target_2024|target_2025|target_2026|target_2027|target_2028|responsible_agency
Strategies|Programme|Activities|Location (By Priority)|2024|2025|2026|2027|2028|Responsible Agency
Strengthen Climate Change Mitigation|Sustainable Forest Management|Conduct 30 Education and awareness meetings in 7 chiefdoms on climate change adaptation|Chief Kabulwebulwe, Chief Mumba, chief Chibuluma, Chief Kaingu, Chief Moono, Senior Chief Shakumbila and Chief Mulendema|2 Meeting s|6 Meeting s|8 Meeting s|7 Meeting s|7 Meeting s|MGEE/DNP W
Strengthen Climate Change Mitigation|Sustainable Forest Management|To secure 1,000,000 hectarage on Community Forest Management Area designated and Fire Management|Mumba, Sanje, Lutale, Nambala, Mushingashi, Luba North, Luba South and Kasanga Forest|200,000 Hectors|200,000 Hectors|200,000 Hectors|200,000 Hectors|200,000 Hectors|MGEE/DNP W
Strengthen Climate Change Mitigation|Sustainable Forest Management|Plantation establishment and rehabilitation of degraded areas with 83,000 plants|Chief Kabulwebulwe, chief Mumba, chief Chibuluma, Chief Kaingu, Chief Moono, senior Chief Shakumbila and Chief Mulendema|12,000 Plants|15,000 Plants|17,000 Plants|19,000 Plants|20,000 Plants|MGEE/DNP W
Strengthen Climate Change Mitigation|Sustainable land, Forest and Water Management|Increase Extension Services|Lutale, Mumba, Sanje, Nambala, Nalusanga, Kasanga, Luba North, Luba South, Miyoye, Choma, Keezwa|25%|50%|60%|70%|80%|MGEE
Strengthen Climate Change Mitigation|Sustainable Forest Management|Increase Participation and Involvement of Traditional Leaders and Communities in Ownership of Forests|Lutale, Mumba, Sanje, Nambala, Nalusanga, Kasanga, Luba North, Luba South, Miyoye, Choma, Keezwa|20%|50%|60%|70%|85%|MGEE/DNP W/WWF/TN C/COMACO
Enhance Natural Resources Manageme nt|Sustainable Wildlife and Fisheries Management|Conduct 2,500 Forest and Wildlife Patrols in all Natural Resource Reserves|Lutale, Mumba, Sanje, Nambala, Nalusanga, Kasanga, Luba North, Luba South, Miyoye, Choma, Keezwa|500 Patrols|500 Patrols|500 Patrols|500 Patrols|500 Patrols|MGEE/DNP W
Enhance Natural Resources Manageme nt|Sustainable Wildlife and Fisheries Management|To conduct 600 Law Enforcement patrols along Lusaka- Kaoma high way road|Lusaka-Kaoma Road|100 Patrols|140 Patrols|120 Patrols|120 Patrols|120 Patrols|MGEE/DNP W
Enhance Natural Resources Manageme nt|Sustainable Wildlife and Fisheries Management|Recruit and deploy 1000 community forest and wildlife rangers|Lutale, Mumba, Sanje, Nambala, Nalusanga, Kasanga, Luba North, Luba South, Miyoye, Choma, Keezwa|200 Rangers|200 Rangers|200 Rangers|200 Rangers|200 Rangers|MGEE/DNP W
Enhance Natural Resources Manageme nt|Sustainable Wildlife and Fisheries Management|Conduct 2,500 Forest and Wildlife Patrols in all Natural Resource Reserves|Lutale, Mumba, Sanje, Nambala, Nalusanga, Kasanga, Luba North, Luba South, Miyoye, Choma, Keezwa|500 Patrols|500 Patrols|500 Patrols|500 Patrols|500 Patrols|MGEE/DNP W
