priority_area|baseline|target
Effective Survelaince and Law Enforcement patrols in all fishery areas (25 patrols annually)|25|Increase effeictve Surveillance and Law Enforcement Patrols to 100 patrols per year
Staff accomodation at district and camp level|10|Rehabilitate 5 staff houses Construct 12 houses for camp staff ( 5 for veterinary assistants, 5 livestock development and 2 for fisheries) - Complete the district office blocks for the 3 departments
Fingerling production|0|Establishment of fish hatchery that will see the production 150,000 fingerings
Transport system for extension services|1|Procurement of 2 motor vehicles
Transport system for extension services|13|Procurement of 40 motor bikes
Animal health and livestock production extension services|8|30 more extension officers required
Animal disease control and livestock infrastructure|11|10 dip tanks to be completed and operationalised
Animal disease control and livestock infrastructure|0|Establishment of 3 AI Centers in Keezwa, Muchabi and Mumbwa Central
Animal disease control and livestock infrastructure|0|Construction of 1 District Laboratory
Animal disease control and livestock infrastructure|1|Establish 1 Permanent Biosecurity Checkpoints 1 at Naleza
Coordinated marketing of livestock products|0|Construction of 1 Slaughter slab and livestock breeding centre
Entrepreneurial skills training in fish and livestock marketing|0|Conduct Entrepreneurial trainings in fish and livestock marketing with involvement of other key stakeholders.
